Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019-01-01,1,Santiago Del Estero,24695.0,70424.0,200.0,2.779,4.657,102.755
2019-01-01,1,Tierra Del Fuego,12854.0,25632.0,0.0,0.0,308.0,38.794
2019-01-01,1,Tucumán,143184.0,10494.0,44687.0,1.355,347.0,200.067
2019-01-01,4,Buenos Aires,720011.0,2191672.0,669194.0,87.111,18.266,3.686.254
2019-01-01,4,Capital Federal,196938.0,1093143.0,35534.0,3.914,28.576,1.358.105
2019-01-01,4,Catamarca,22999.0,3318.0,9506.0,261.0,2.227,38.311
2019-01-01,4,Chaco,48661.0,53602.0,8831.0,5.229,1.58,117.903
2019-01-01,4,Chubut,47045.0,26977.0,1324.0,15.267,5.489,96.102
2019-01-01,4,Córdoba,296872.0,410038.0,53335.0,37.75,8.693,806.688
2019-01-01,4,Corrientes,52525.0,51845.0,2002.0,2.458,5.004,113.834
2019-01-01,4,Entre Ríos,92981.0,99206.0,12875.0,18.561,15.407,239.030
2019-01-01,4,Formosa,21567.0,8684.0,1760.0,14.531,169.0,46.711
2019-01-01,4,Jujuy,32949.0,37604.0,873.0,814.0,16.641,88.881
2019-01-01,4,La Pampa,15457.0,56854.0,4942.0,11.341,1.805,90.399
2019-01-01,4,La Rioja,13738.0,34984.0,0.0,251.0,29.0,49.002
2019-01-01,4,Mendoza,96678.0,49711.0,24989.0,13.672,730.0,185.780
2019-01-01,4,Misiones,53116.0,69676.0,847.0,441.0,11.733,135.813
2019-01-01,4,Neuquén,29826.0,60970.0,10549.0,14.246,854.0,116.445
2019-01-01,4,Río Negro,49747.0,37933.0,9658.0,11.437,18.365,127.140
2019-01-01,4,Salta,63272.0,76062.0,21865.0,3.04,8.206,172.445
2019-01-01,4,San Juan,41360.0,6338.0,4931.0,7.241,5.104,64.974
2019-01-01,4,San Luis,8569.0,8027.0,6.0,55.266,36.333,108.201
2019-01-01,4,Santa Cruz,13264.0,15899.0,1036.0,6.8,2.371,39.370
